species	gene	segment	bad	good
HomoSapiens	IGH	Variable	IGHV3_OR16-10	IGHV3/OR16-10
HomoSapiens	IGH	Variable	IGHV3	IGHV3/OR16-12
HomoSapiens	IGH	Variable	IGOR16-12	IGHV3/OR16-12
HomoSapiens	IGH	Variable	IGHOR16-12	IGHV3/OR16-12
HomoSapiens	IGH	Variable	IGHOR3	IGHV3/OR16-12
HomoSapiens	IGH	Variable	IGHV3_OR16-12	IGHV3/OR16-12
HomoSapiens	IGH	Variable	IGHV3	IGHV3/OR16-13
HomoSapiens	IGH	Variable	IGOR16-13	IGHV3/OR16-13
HomoSapiens	IGH	Variable	IGHOR16-13	IGHV3/OR16-13
HomoSapiens	IGH	Variable	IGHOR3	IGHV3/OR16-13
HomoSapiens	IGH	Variable	IGHV3_OR16-13	IGHV3/OR16-13
HomoSapiens	IGH	Variable	IGHV3	IGHV3/OR16-14
HomoSapiens	IGH	Variable	IGOR16-14	IGHV3/OR16-14
HomoSapiens	IGH	Variable	IGHOR16-14	IGHV3/OR16-14
HomoSapiens	IGH	Variable	IGHOR3	IGHV3/OR16-14
HomoSapiens	IGH	Variable	IGHV3_OR16-14	IGHV3/OR16-14
HomoSapiens	IGH	Variable	IGHV3	IGHV3/OR16-15
HomoSapiens	IGH	Variable	IGOR16-15	IGHV3/OR16-15
HomoSapiens	IGH	Variable	IGHOR16-15	IGHV3/OR16-15
HomoSapiens	IGH	Variable	IGHOR3	IGHV3/OR16-15
HomoSapiens	IGH	Variable	IGHV3_OR16-15	IGHV3/OR16-15
HomoSapiens	IGH	Variable	IGHV3	IGHV3/OR16-15
HomoSapiens	IGH	Variable	IGOR16-15	IGHV3/OR16-15
HomoSapiens	IGH	Variable	IGHOR16-15	IGHV3/OR16-15
HomoSapiens	IGH	Variable	IGHOR3	IGHV3/OR16-15
HomoSapiens	IGH	Variable	IGHV3_OR16-15	IGHV3/OR16-15
HomoSapiens	IGH	Variable	IGHV3	IGHV3/OR16-16
HomoSapiens	IGH	Variable	IGOR16-16	IGHV3/OR16-16
HomoSapiens	IGH	Variable	IGHOR16-16	IGHV3/OR16-16
HomoSapiens	IGH	Variable	IGHOR3	IGHV3/OR16-16
HomoSapiens	IGH	Variable	IGHV3_OR16-16	IGHV3/OR16-16
HomoSapiens	IGH	Variable	IGHV3	IGHV3/OR16-6
HomoSapiens	IGH	Variable	IGOR16-6	IGHV3/OR16-6
HomoSapiens	IGH	Variable	IGHOR16-6	IGHV3/OR16-6
HomoSapiens	IGH	Variable	IGHOR3	IGHV3/OR16-6
HomoSapiens	IGH	Variable	IGHV3_OR16-6	IGHV3/OR16-6
HomoSapiens	IGH	Variable	IGHV3	IGHV3/OR16-8
HomoSapiens	IGH	Variable	IGOR16-8	IGHV3/OR16-8
HomoSapiens	IGH	Variable	IGHOR16-8	IGHV3/OR16-8
HomoSapiens	IGH	Variable	IGHOR3	IGHV3/OR16-8
HomoSapiens	IGH	Variable	IGHV3_OR16-8	IGHV3/OR16-8
HomoSapiens	IGH	Variable	IGHV3	IGHV3/OR16-8
HomoSapiens	IGH	Variable	IGOR16-8	IGHV3/OR16-8
HomoSapiens	IGH	Variable	IGHOR16-8	IGHV3/OR16-8
HomoSapiens	IGH	Variable	IGHOR3	IGHV3/OR16-8
HomoSapiens	IGH	Variable	IGHV3_OR16-8	IGHV3/OR16-8
HomoSapiens	IGH	Variable	IGHV3	IGHV3/OR16-9
HomoSapiens	IGH	Variable	IGOR16-9	IGHV3/OR16-9
HomoSapiens	IGH	Variable	IGHOR16-9	IGHV3/OR16-9
HomoSapiens	IGH	Variable	IGHOR3	IGHV3/OR16-9
HomoSapiens	IGH	Variable	IGHV3_OR16-9	IGHV3/OR16-9
HomoSapiens	IGH	Variable	IGHV4-3!	IGHV4-31
HomoSapiens	IGH	Variable	IGHV4-3!	IGHV4-31
HomoSapiens	IGH	Variable	IGHV4-3!	IGHV4-31
HomoSapiens	IGH	Variable	IGHV4-3!	IGHV4-31
HomoSapiens	IGH	Variable	IGHV4-3!	IGHV4-31
HomoSapiens	IGH	Variable	IGHV4-3!	IGHV4-31
HomoSapiens	IGH	Variable	IGHV4-6!	IGHV4-61
HomoSapiens	IGH	Variable	IGHV4-6!	IGHV4-61
HomoSapiens	IGH	Variable	IGHV4-6!	IGHV4-61
HomoSapiens	IGH	Variable	IGHV4-6!	IGHV4-61
HomoSapiens	IGH	Variable	IGHV4-6!	IGHV4-61
HomoSapiens	IGH	Variable	IGHV4-6!	IGHV4-61
HomoSapiens	IGH	Variable	IGHV4-6!	IGHV4-61
HomoSapiens	IGH	Variable	IGHV4	IGHV4/OR15-8
HomoSapiens	IGH	Variable	IGOR15-8	IGHV4/OR15-8
HomoSapiens	IGH	Variable	IGHOR15-8	IGHV4/OR15-8
HomoSapiens	IGH	Variable	IGHOR4	IGHV4/OR15-8
HomoSapiens	IGH	Variable	IGHV4_OR15-8	IGHV4/OR15-8
HomoSapiens	IGH	Variable	IGHV4	IGHV4/OR15-8
HomoSapiens	IGH	Variable	IGOR15-8	IGHV4/OR15-8
HomoSapiens	IGH	Variable	IGHOR15-8	IGHV4/OR15-8
HomoSapiens	IGH	Variable	IGHOR4	IGHV4/OR15-8
HomoSapiens	IGH	Variable	IGHV4_OR15-8	IGHV4/OR15-8
HomoSapiens	IGH	Variable	IGHV4	IGHV4/OR15-8
HomoSapiens	IGH	Variable	IGOR15-8	IGHV4/OR15-8
HomoSapiens	IGH	Variable	IGHOR15-8	IGHV4/OR15-8
HomoSapiens	IGH	Variable	IGHOR4	IGHV4/OR15-8
HomoSapiens	IGH	Variable	IGHV4_OR15-8	IGHV4/OR15-8
HomoSapiens	IGH	Variable	IGHV5-10-!	IGHV5-10-1
HomoSapiens	IGH	Variable	IGHV5-10-!	IGHV5-10-1
HomoSapiens	IGH	Variable	IGHV5-10-!	IGHV5-10-1
HomoSapiens	IGH	Variable	IGHV5-10-!	IGHV5-10-1
HomoSapiens	IGH	Variable	IGHV5-5!	IGHV5-51
HomoSapiens	IGH	Variable	IGHV5-5!	IGHV5-51
HomoSapiens	IGH	Variable	IGHV5-5!	IGHV5-51
HomoSapiens	IGH	Variable	IGHV5-5!	IGHV5-51
HomoSapiens	IGH	Variable	IGHV6-!	IGHV6-1
HomoSapiens	IGH	Variable	IGHV6-!	IGHV6-1
HomoSapiens	IGH	Variable	IGHV7-34-!	IGHV7-34-1
HomoSapiens	IGH	Variable	IGHV7-34-!	IGHV7-34-1
HomoSapiens	IGH	Variable	IGHV7-4-!	IGHV7-4-1
HomoSapiens	IGH	Variable	IGHV7-4-!	IGHV7-4-1
HomoSapiens	IGH	Variable	IGHV7-4-!	IGHV7-4-1
HomoSapiens	IGH	Variable	IGHV7-4-!	IGHV7-4-1
HomoSapiens	IGH	Variable	IGHV7-8!	IGHV7-81
HomoSapiens	IGK	Joining	IGKJ1-1	IGKJ1
HomoSapiens	IGK	Joining	IGKJ!	IGKJ1
HomoSapiens	IGK	Joining	IGKJ2-1	IGKJ2
HomoSapiens	IGK	Joining	IGKJ2-1	IGKJ2
HomoSapiens	IGK	Joining	IGKJ2-1	IGKJ2
HomoSapiens	IGK	Joining	IGKJ2-1	IGKJ2
HomoSapiens	IGK	Joining	IGKJ3-1	IGKJ3
HomoSapiens	IGK	Joining	IGKJ4-1	IGKJ4
HomoSapiens	IGK	Joining	IGKJ4-1	IGKJ4
HomoSapiens	IGK	Joining	IGKJ5-1	IGKJ5
HomoSapiens	IGK	Variable	IGKV1-NL!	IGKV1-NL1
HomoSapiens	IGK	Variable	IGKV1	IGKV1/OR-2
HomoSapiens	IGK	Variable	IGOR-2	IGKV1/OR-2
HomoSapiens	IGK	Variable	IGKOR-2	IGKV1/OR-2
HomoSapiens	IGK	Variable	IGKOR1	IGKV1/OR-2
HomoSapiens	IGK	Variable	IGKV1_OR-2	IGKV1/OR-2
HomoSapiens	IGK	Variable	IGKV1	IGKV1/OR-3
HomoSapiens	IGK	Variable	IGOR-3	IGKV1/OR-3
HomoSapiens	IGK	Variable	IGKOR-3	IGKV1/OR-3
HomoSapiens	IGK	Variable	IGKOR1	IGKV1/OR-3
HomoSapiens	IGK	Variable	IGKV1_OR-3	IGKV1/OR-3
HomoSapiens	IGK	Variable	IGKV1	IGKV1/OR-4
HomoSapiens	IGK	Variable	IGOR-4	IGKV1/OR-4
HomoSapiens	IGK	Variable	IGKOR-4	IGKV1/OR-4
HomoSapiens	IGK	Variable	IGKOR1	IGKV1/OR-4
HomoSapiens	IGK	Variable	IGKV1_OR-4	IGKV1/OR-4
HomoSapiens	IGK	Variable	IGKV1/OR1-!	IGKV1/OR1-1
HomoSapiens	IGK	Variable	IGKV1	IGKV1/OR1-1
HomoSapiens	IGK	Variable	IGOR1-1	IGKV1/OR1-1
HomoSapiens	IGK	Variable	IGKOR1-1	IGKV1/OR1-1
HomoSapiens	IGK	Variable	IGKOR1	IGKV1/OR1-1
HomoSapiens	IGK	Variable	IGKV1_OR1-1	IGKV1/OR1-1
HomoSapiens	IGK	Variable	IGKV1/OR10-!	IGKV1/OR10-1
HomoSapiens	IGK	Variable	IGKV1	IGKV1/OR10-1
HomoSapiens	IGK	Variable	IGOR10-1	IGKV1/OR10-1
HomoSapiens	IGK	Variable	IGKOR10-1	IGKV1/OR10-1
HomoSapiens	IGK	Variable	IGKOR1	IGKV1/OR10-1
HomoSapiens	IGK	Variable	IGKV1_OR10-1	IGKV1/OR10-1
HomoSapiens	IGK	Variable	IGKV1	IGKV1/OR15-118
HomoSapiens	IGK	Variable	IGOR15-118	IGKV1/OR15-118
HomoSapiens	IGK	Variable	IGKOR15-118	IGKV1/OR15-118
HomoSapiens	IGK	Variable	IGKOR1	IGKV1/OR15-118
HomoSapiens	IGK	Variable	IGKV1_OR15-118	IGKV1/OR15-118
HomoSapiens	IGK	Variable	IGKV1	IGKV1/OR2-0
HomoSapiens	IGK	Variable	IGOR2-0	IGKV1/OR2-0
HomoSapiens	IGK	Variable	IGKOR2-0	IGKV1/OR2-0
HomoSapiens	IGK	Variable	IGKOR1	IGKV1/OR2-0
HomoSapiens	IGK	Variable	IGKV1_OR2-0	IGKV1/OR2-0
HomoSapiens	IGK	Variable	IGKV1/OR2-!	IGKV1/OR2-1
HomoSapiens	IGK	Variable	IGKV1	IGKV1/OR2-1
HomoSapiens	IGK	Variable	IGOR2-1	IGKV1/OR2-1
HomoSapiens	IGK	Variable	IGKOR2-1	IGKV1/OR2-1
HomoSapiens	IGK	Variable	IGKOR1	IGKV1/OR2-1
HomoSapiens	IGK	Variable	IGKV1_OR2-1	IGKV1/OR2-1
HomoSapiens	IGK	Variable	IGKV1	IGKV1/OR2-108
HomoSapiens	IGK	Variable	IGOR2-108	IGKV1/OR2-108
HomoSapiens	IGK	Variable	IGKOR2-108	IGKV1/OR2-108
HomoSapiens	IGK	Variable	IGKOR1	IGKV1/OR2-108
HomoSapiens	IGK	Variable	IGKV1_OR2-108	IGKV1/OR2-108
HomoSapiens	IGK	Variable	IGKV1/OR2-1!	IGKV1/OR2-11
HomoSapiens	IGK	Variable	IGKV1	IGKV1/OR2-11
HomoSapiens	IGK	Variable	IGOR2-11	IGKV1/OR2-11
HomoSapiens	IGK	Variable	IGKOR2-11	IGKV1/OR2-11
HomoSapiens	IGK	Variable	IGKOR1	IGKV1/OR2-11
HomoSapiens	IGK	Variable	IGKV1_OR2-11	IGKV1/OR2-11
HomoSapiens	IGK	Variable	IGKV1	IGKV1/OR2-118
HomoSapiens	IGK	Variable	IGOR2-118	IGKV1/OR2-118
HomoSapiens	IGK	Variable	IGKOR2-118	IGKV1/OR2-118
HomoSapiens	IGK	Variable	IGKOR1	IGKV1/OR2-118
HomoSapiens	IGK	Variable	IGKV1_OR2-118	IGKV1/OR2-118
HomoSapiens	IGK	Variable	IGKV1	IGKV1/OR2-2
HomoSapiens	IGK	Variable	IGOR2-2	IGKV1/OR2-2
HomoSapiens	IGK	Variable	IGKOR2-2	IGKV1/OR2-2
HomoSapiens	IGK	Variable	IGKOR1	IGKV1/OR2-2
HomoSapiens	IGK	Variable	IGKV1_OR2-2	IGKV1/OR2-2
HomoSapiens	IGK	Variable	IGKV1	IGKV1/OR2-3
HomoSapiens	IGK	Variable	IGOR2-3	IGKV1/OR2-3
HomoSapiens	IGK	Variable	IGKOR2-3	IGKV1/OR2-3
HomoSapiens	IGK	Variable	IGKOR1	IGKV1/OR2-3
HomoSapiens	IGK	Variable	IGKV1_OR2-3	IGKV1/OR2-3
HomoSapiens	IGK	Variable	IGKV1	IGKV1/OR2-9
HomoSapiens	IGK	Variable	IGOR2-9	IGKV1/OR2-9
HomoSapiens	IGK	Variable	IGKOR2-9	IGKV1/OR2-9
HomoSapiens	IGK	Variable	IGKOR1	IGKV1/OR2-9
HomoSapiens	IGK	Variable	IGKV1_OR2-9	IGKV1/OR2-9
HomoSapiens	IGK	Variable	IGKV1	IGKV1/OR22-5
HomoSapiens	IGK	Variable	IGOR22-5	IGKV1/OR22-5
HomoSapiens	IGK	Variable	IGKOR22-5	IGKV1/OR22-5
HomoSapiens	IGK	Variable	IGKOR1	IGKV1/OR22-5
HomoSapiens	IGK	Variable	IGKV1_OR22-5	IGKV1/OR22-5
HomoSapiens	IGK	Variable	IGKV1	IGKV1/OR22-5
HomoSapiens	IGK	Variable	IGOR22-5	IGKV1/OR22-5
HomoSapiens	IGK	Variable	IGKOR22-5	IGKV1/OR22-5
HomoSapiens	IGK	Variable	IGKOR1	IGKV1/OR22-5
HomoSapiens	IGK	Variable	IGKV1_OR22-5	IGKV1/OR22-5
HomoSapiens	IGK	Variable	IGKV1/OR9-!	IGKV1/OR9-1
HomoSapiens	IGK	Variable	IGKV1	IGKV1/OR9-1
HomoSapiens	IGK	Variable	IGOR9-1	IGKV1/OR9-1
HomoSapiens	IGK	Variable	IGKOR9-1	IGKV1/OR9-1
HomoSapiens	IGK	Variable	IGKOR1	IGKV1/OR9-1
HomoSapiens	IGK	Variable	IGKV1_OR9-1	IGKV1/OR9-1
HomoSapiens	IGK	Variable	IGKV1	IGKV1/OR9-2
HomoSapiens	IGK	Variable	IGOR9-2	IGKV1/OR9-2
HomoSapiens	IGK	Variable	IGKOR9-2	IGKV1/OR9-2
HomoSapiens	IGK	Variable	IGKOR1	IGKV1/OR9-2
HomoSapiens	IGK	Variable	IGKV1_OR9-2	IGKV1/OR9-2
HomoSapiens	IGK	Variable	IGKV1/ORY-!	IGKV1/ORY-1
HomoSapiens	IGK	Variable	IGKV1	IGKV1/ORY-1
HomoSapiens	IGK	Variable	IGORY-1	IGKV1/ORY-1
HomoSapiens	IGK	Variable	IGKORY-1	IGKV1/ORY-1
HomoSapiens	IGK	Variable	IGKOR1	IGKV1/ORY-1
HomoSapiens	IGK	Variable	IGKV1_ORY-1	IGKV1/ORY-1
HomoSapiens	IGK	Variable	IGKV2	IGKV2/OR2-7D
HomoSapiens	IGK	Variable	IGOR2-7D	IGKV2/OR2-7D
HomoSapiens	IGK	Variable	IGKOR2-7D	IGKV2/OR2-7D
HomoSapiens	IGK	Variable	IGKOR2	IGKV2/OR2-7D
HomoSapiens	IGK	Variable	IGKV2_OR2-7D	IGKV2/OR2-7D
HomoSapiens	IGK	Variable	IGKV2	IGKV2/OR22-4
HomoSapiens	IGK	Variable	IGOR22-4	IGKV2/OR22-4
HomoSapiens	IGK	Variable	IGKOR22-4	IGKV2/OR22-4
HomoSapiens	IGK	Variable	IGKOR2	IGKV2/OR22-4
HomoSapiens	IGK	Variable	IGKV2_OR22-4	IGKV2/OR22-4
HomoSapiens	IGK	Variable	IGKV3-1!	IGKV3-11
HomoSapiens	IGK	Variable	IGKV3-1!	IGKV3-11
HomoSapiens	IGK	Variable	IGKV3-NL!	IGKV3-NL1
HomoSapiens	IGK	Variable	IGKV3	IGKV3/OR2-268
HomoSapiens	IGK	Variable	IGOR2-268	IGKV3/OR2-268
HomoSapiens	IGK	Variable	IGKOR2-268	IGKV3/OR2-268
HomoSapiens	IGK	Variable	IGKOR3	IGKV3/OR2-268
HomoSapiens	IGK	Variable	IGKV3_OR2-268	IGKV3/OR2-268
HomoSapiens	IGK	Variable	IGKV3	IGKV3/OR2-268
HomoSapiens	IGK	Variable	IGOR2-268	IGKV3/OR2-268
HomoSapiens	IGK	Variable	IGKOR2-268	IGKV3/OR2-268
HomoSapiens	IGK	Variable	IGKOR3	IGKV3/OR2-268
HomoSapiens	IGK	Variable	IGKV3_OR2-268	IGKV3/OR2-268
HomoSapiens	IGK	Variable	IGKV3D-1!	IGKV3D-11
HomoSapiens	IGK	Variable	IGKV4-!	IGKV4-1
HomoSapiens	IGK	Variable	IGKV6-2!	IGKV6-21
HomoSapiens	IGK	Variable	IGKV6D-2!	IGKV6D-21
HomoSapiens	IGK	Variable	IGKV6D-4!	IGKV6D-41
HomoSapiens	IGL	Joining	IGLJ1-1	IGLJ1
HomoSapiens	IGL	Joining	IGLJ!	IGLJ1
HomoSapiens	IGL	Joining	IGLJ2-1	IGLJ2
HomoSapiens	IGL	Joining	IGLJ3-1	IGLJ3
HomoSapiens	IGL	Joining	IGLJ3-1	IGLJ3
HomoSapiens	IGL	Joining	IGLJ4-1	IGLJ4
HomoSapiens	IGL	Joining	IGLJ5-1	IGLJ5
HomoSapiens	IGL	Joining	IGLJ5-1	IGLJ5
HomoSapiens	IGL	Joining	IGLJ6-1	IGLJ6
HomoSapiens	IGL	Joining	IGLJ7-1	IGLJ7
HomoSapiens	IGL	Joining	IGLJ7-1	IGLJ7
HomoSapiens	IGL	Variable	IGLV1-4!	IGLV1-41
HomoSapiens	IGL	Variable	IGLV1-4!	IGLV1-41
HomoSapiens	IGL	Variable	IGLV1-5!	IGLV1-51
HomoSapiens	IGL	Variable	IGLV1-5!	IGLV1-51
HomoSapiens	IGL	Variable	IGLV2-1!	IGLV2-11
HomoSapiens	IGL	Variable	IGLV2-1!	IGLV2-11
HomoSapiens	IGL	Variable	IGLV2-1!	IGLV2-11
HomoSapiens	IGL	Variable	IGLV2-NL!	IGLV2-NL1
HomoSapiens	IGL	Variable	IGLV3-!	IGLV3-1
HomoSapiens	IGL	Variable	IGLV3-2!	IGLV3-21
HomoSapiens	IGL	Variable	IGLV3-2!	IGLV3-21
HomoSapiens	IGL	Variable	IGLV3-2!	IGLV3-21
HomoSapiens	IGL	Variable	IGLV3-3!	IGLV3-31
HomoSapiens	IGL	Variable	IGLV3-3!	IGLV3-31
HomoSapiens	IGL	Variable	IGLV8-6!	IGLV8-61
HomoSapiens	IGL	Variable	IGLV8-6!	IGLV8-61
HomoSapiens	IGL	Variable	IGLV8/OR8-!	IGLV8/OR8-1
HomoSapiens	IGL	Variable	IGLV8	IGLV8/OR8-1
HomoSapiens	IGL	Variable	IGOR8-1	IGLV8/OR8-1
HomoSapiens	IGL	Variable	IGLOR8-1	IGLV8/OR8-1
HomoSapiens	IGL	Variable	IGLOR8	IGLV8/OR8-1
HomoSapiens	IGL	Variable	IGLV8_OR8-1	IGLV8/OR8-1
HomoSapiens	TRA	Joining	TRAJ1-1	TRAJ1
HomoSapiens	TRA	Joining	TRAJ!	TRAJ1
HomoSapiens	TRA	Joining	TRAJ10-1	TRAJ10
HomoSapiens	TRA	Joining	TRAJ11-1	TRAJ11
HomoSapiens	TRA	Joining	TRAJ1!	TRAJ11
HomoSapiens	TRA	Joining	TRAJ12-1	TRAJ12
HomoSapiens	TRA	Joining	TRAJ13-1	TRAJ13
HomoSapiens	TRA	Joining	TRAJ13-1	TRAJ13
HomoSapiens	TRA	Joining	TRAJ14-1	TRAJ14
HomoSapiens	TRA	Joining	TRAJ15-1	TRAJ15
HomoSapiens	TRA	Joining	TRAJ15-1	TRAJ15
HomoSapiens	TRA	Joining	TRAJ16-1	TRAJ16
HomoSapiens	TRA	Joining	TRAJ17-1	TRAJ17
HomoSapiens	TRA	Joining	TRAJ18-1	TRAJ18
HomoSapiens	TRA	Joining	TRAJ19-1	TRAJ19
HomoSapiens	TRA	Joining	TRAJ2-1	TRAJ2
HomoSapiens	TRA	Joining	TRAJ20-1	TRAJ20
HomoSapiens	TRA	Joining	TRAJ21-1	TRAJ21
HomoSapiens	TRA	Joining	TRAJ2!	TRAJ21
HomoSapiens	TRA	Joining	TRAJ22-1	TRAJ22
HomoSapiens	TRA	Joining	TRAJ23-1	TRAJ23
HomoSapiens	TRA	Joining	TRAJ23-1	TRAJ23
HomoSapiens	TRA	Joining	TRAJ24-1	TRAJ24
HomoSapiens	TRA	Joining	TRAJ24-1	TRAJ24
HomoSapiens	TRA	Joining	TRAJ25-1	TRAJ25
HomoSapiens	TRA	Joining	TRAJ26-1	TRAJ26
HomoSapiens	TRA	Joining	TRAJ27-1	TRAJ27
HomoSapiens	TRA	Joining	TRAJ28-1	TRAJ28
HomoSapiens	TRA	Joining	TRAJ29-1	TRAJ29
HomoSapiens	TRA	Joining	TRAJ3-1	TRAJ3
HomoSapiens	TRA	Joining	TRAJ30-1	TRAJ30
HomoSapiens	TRA	Joining	TRAJ31-1	TRAJ31
HomoSapiens	TRA	Joining	TRAJ3!	TRAJ31
HomoSapiens	TRA	Joining	TRAJ32-1	TRAJ32
HomoSapiens	TRA	Joining	TRAJ32-1	TRAJ32
HomoSapiens	TRA	Joining	TRAJ33-1	TRAJ33
HomoSapiens	TRA	Joining	TRAJ34-1	TRAJ34
HomoSapiens	TRA	Joining	TRAJ36-1	TRAJ36
HomoSapiens	TRA	Joining	TRAJ37-1	TRAJ37
HomoSapiens	TRA	Joining	TRAJ37-1	TRAJ37
HomoSapiens	TRA	Joining	TRAJ38-1	TRAJ38
HomoSapiens	TRA	Joining	TRAJ39-1	TRAJ39
HomoSapiens	TRA	Joining	TRAJ4-1	TRAJ4
HomoSapiens	TRA	Joining	TRAJ40-1	TRAJ40
HomoSapiens	TRA	Joining	TRAJ41-1	TRAJ41
HomoSapiens	TRA	Joining	TRAJ4!	TRAJ41
HomoSapiens	TRA	Joining	TRAJ42-1	TRAJ42
HomoSapiens	TRA	Joining	TRAJ43-1	TRAJ43
HomoSapiens	TRA	Joining	TRAJ44-1	TRAJ44
HomoSapiens	TRA	Joining	TRAJ45-1	TRAJ45
HomoSapiens	TRA	Joining	TRAJ46-1	TRAJ46
HomoSapiens	TRA	Joining	TRAJ47-1	TRAJ47
HomoSapiens	TRA	Joining	TRAJ47-1	TRAJ47
HomoSapiens	TRA	Joining	TRAJ48-1	TRAJ48
HomoSapiens	TRA	Joining	TRAJ49-1	TRAJ49
HomoSapiens	TRA	Joining	TRAJ5-1	TRAJ5
HomoSapiens	TRA	Joining	TRAJ50-1	TRAJ50
HomoSapiens	TRA	Joining	TRAJ52-1	TRAJ52
HomoSapiens	TRA	Joining	TRAJ53-1	TRAJ53
HomoSapiens	TRA	Joining	TRAJ54-1	TRAJ54
HomoSapiens	TRA	Joining	TRAJ55-1	TRAJ55
HomoSapiens	TRA	Joining	TRAJ56-1	TRAJ56
HomoSapiens	TRA	Joining	TRAJ57-1	TRAJ57
HomoSapiens	TRA	Joining	TRAJ58-1	TRAJ58
HomoSapiens	TRA	Joining	TRAJ59-1	TRAJ59
HomoSapiens	TRA	Joining	TRAJ6-1	TRAJ6
HomoSapiens	TRA	Joining	TRAJ60-1	TRAJ60
HomoSapiens	TRA	Joining	TRAJ7-1	TRAJ7
HomoSapiens	TRA	Joining	TRAJ8-1	TRAJ8
HomoSapiens	TRA	Joining	TRAJ9-1	TRAJ9
HomoSapiens	TRA	Variable	TRAV1-!	TRAV1-1
HomoSapiens	TRA	Variable	TRAV1-!	TRAV1-1
HomoSapiens	TRA	Variable	TRAV10-1	TRAV10
HomoSapiens	TRA	Variable	TRAV11-1	TRAV11
HomoSapiens	TRA	Variable	TRAV1!	TRAV11
HomoSapiens	TRA	Variable	TRAV12-!	TRAV12-1
HomoSapiens	TRA	Variable	TRAV12-!	TRAV12-1
HomoSapiens	TRA	Variable	TRAV13-!	TRAV13-1
HomoSapiens	TRA	Variable	TRAV13-!	TRAV13-1
HomoSapiens	TRA	Variable	TRAV14/DV4-1	TRAV14/DV4
HomoSapiens	TRA	Variable	TRAV14	TRAV14/DV4
HomoSapiens	TRA	Variable	TRDV4	TRAV14/DV4
HomoSapiens	TRA	Variable	TRADV4	TRAV14/DV4
HomoSapiens	TRA	Variable	TRADV14	TRAV14/DV4
HomoSapiens	TRA	Variable	TRAV14_DV4	TRAV14/DV4
HomoSapiens	TRA	Variable	TRAV14/DV4-1	TRAV14/DV4
HomoSapiens	TRA	Variable	TRAV14	TRAV14/DV4
HomoSapiens	TRA	Variable	TRDV4	TRAV14/DV4
HomoSapiens	TRA	Variable	TRADV4	TRAV14/DV4
HomoSapiens	TRA	Variable	TRADV14	TRAV14/DV4
HomoSapiens	TRA	Variable	TRAV14_DV4	TRAV14/DV4
HomoSapiens	TRA	Variable	TRAV14/DV4-1	TRAV14/DV4
HomoSapiens	TRA	Variable	TRAV14	TRAV14/DV4
HomoSapiens	TRA	Variable	TRDV4	TRAV14/DV4
HomoSapiens	TRA	Variable	TRADV4	TRAV14/DV4
HomoSapiens	TRA	Variable	TRADV14	TRAV14/DV4
HomoSapiens	TRA	Variable	TRAV14_DV4	TRAV14/DV4
HomoSapiens	TRA	Variable	TRAV16-1	TRAV16
HomoSapiens	TRA	Variable	TRAV17-1	TRAV17
HomoSapiens	TRA	Variable	TRAV18-1	TRAV18
HomoSapiens	TRA	Variable	TRAV19-1	TRAV19
HomoSapiens	TRA	Variable	TRAV2-1	TRAV2
HomoSapiens	TRA	Variable	TRAV2-1	TRAV2
HomoSapiens	TRA	Variable	TRAV20-1	TRAV20
HomoSapiens	TRA	Variable	TRAV20-1	TRAV20
HomoSapiens	TRA	Variable	TRAV20-1	TRAV20
HomoSapiens	TRA	Variable	TRAV20-1	TRAV20
HomoSapiens	TRA	Variable	TRAV21-1	TRAV21
HomoSapiens	TRA	Variable	TRAV2!	TRAV21
HomoSapiens	TRA	Variable	TRAV21-1	TRAV21
HomoSapiens	TRA	Variable	TRAV2!	TRAV21
HomoSapiens	TRA	Variable	TRAV22-1	TRAV22
HomoSapiens	TRA	Variable	TRAV23/DV6-1	TRAV23/DV6
HomoSapiens	TRA	Variable	TRAV23	TRAV23/DV6
HomoSapiens	TRA	Variable	TRDV6	TRAV23/DV6
HomoSapiens	TRA	Variable	TRADV6	TRAV23/DV6
HomoSapiens	TRA	Variable	TRADV23	TRAV23/DV6
HomoSapiens	TRA	Variable	TRAV23_DV6	TRAV23/DV6
HomoSapiens	TRA	Variable	TRAV23/DV6-1	TRAV23/DV6
HomoSapiens	TRA	Variable	TRAV23	TRAV23/DV6
HomoSapiens	TRA	Variable	TRDV6	TRAV23/DV6
HomoSapiens	TRA	Variable	TRADV6	TRAV23/DV6
HomoSapiens	TRA	Variable	TRADV23	TRAV23/DV6
HomoSapiens	TRA	Variable	TRAV23_DV6	TRAV23/DV6
HomoSapiens	TRA	Variable	TRAV23/DV6-1	TRAV23/DV6
HomoSapiens	TRA	Variable	TRAV23	TRAV23/DV6
HomoSapiens	TRA	Variable	TRDV6	TRAV23/DV6
HomoSapiens	TRA	Variable	TRADV6	TRAV23/DV6
HomoSapiens	TRA	Variable	TRADV23	TRAV23/DV6
HomoSapiens	TRA	Variable	TRAV23_DV6	TRAV23/DV6
HomoSapiens	TRA	Variable	TRAV23/DV6-1	TRAV23/DV6
HomoSapiens	TRA	Variable	TRAV23	TRAV23/DV6
HomoSapiens	TRA	Variable	TRDV6	TRAV23/DV6
HomoSapiens	TRA	Variable	TRADV6	TRAV23/DV6
HomoSapiens	TRA	Variable	TRADV23	TRAV23/DV6
HomoSapiens	TRA	Variable	TRAV23_DV6	TRAV23/DV6
HomoSapiens	TRA	Variable	TRAV24-1	TRAV24
