
Species	IMGT/GENE-DB	IMGT gene functionality	IMGT and HGNC gene definition	Number of alleles	Chromosomal localization	IMGT/LIGM-DB reference sequence(s) for allele *01	HGNC gene symbol	HGNC database	NCBI Gene	Ensembl	GenAtlas	GeneCards	UniProt
Homo sapiens	IGHV1/OR16-26	P	Homo sapiens Immunoglobulin heavy variable 1/OR16-26	1	16p11.2	IMGT000069							
Homo sapiens	IGHV1/OR16-3	P	Homo sapiens immunoglobulin heavy variable 1/OR16-3	1	16p11.2	IMGT000069	IGHV1OR16-3	5572	28313	ENSG00000260048	26498	IGHV1OR16-3	
Homo sapiens	IGHV1/OR16-4	P	Homo sapiens immunoglobulin heavy variable 1/OR16-4	2	16p11.2	IMGT000069	IGHV1OR16-4	5573	28312	ENSG00000259997	26499	IGHV1OR16-4	
Homo sapiens	IGHV1/OR21-1	ORF	Homo sapiens immunoglobulin heavy variable 1/OR21-1	1	21p11.2	AF254982	IGHV1OR21-1	38040	390530	ENSG00000277282		IGHV1OR21-1	
Homo sapiens	IGHV2-10	P	Homo sapiens immunoglobulin heavy variable 2-10	2	14q32.33	M99647	IGHV2-10	5574	28456		26500	IGHV2-10	
Homo sapiens	IGHV2-26	F	Homo sapiens immunoglobulin heavy variable 2-26	5	14q32.33	M99648	IGHV2-26	5575	28455	ENSG00000211951	26439	IGHV2-26	A0A0B4J1V2
Homo sapiens	IGHV2-5	F	Homo sapiens immunoglobulin heavy variable 2-5	9	14q32.33	X62111	IGHV2-5	5576	28457	ENSG00000211937	26440	IGHV2-5	P01817
Homo sapiens	IGHV2-70	ORF F	Homo sapiens immunoglobulin heavy variable 2-70	22	14q32.33	BK063799	IGHV2-70	5577	28454	ENSG00000274576	26441	IGHV2-70	P01814
Homo sapiens	IGHV2-70D	ORF F	Homo sapiens immunoglobulin heavy variable 2-70D	3	14q32.33		IGHV2-70D	49602	102723168	ENSG00000211974		IGHV2-70D	
Homo sapiens	IGHV2/OR16-23	P	Homo sapiens Immunoglobulin heavy variable 2/OR16-23	1	16p11.2	IMGT000069							
Homo sapiens	IGHV2/OR16-5	ORF	Homo sapiens immunoglobulin heavy variable 2/OR16-5	1	16p11.2	L25544	IGHV2OR16-5	5579	100129631	ENSG00000259303	26442	IGHV2OR16-5	
Homo sapiens	IGHV3-11	P F	Homo sapiens immunoglobulin heavy variable 3-11	6	14q32.33	M99652	IGHV3-11	5580	28450	ENSG00000211941	26443	IGHV3-11	P01762
Homo sapiens	IGHV3-13	F	Homo sapiens immunoglobulin heavy variable 3-13	6	14q32.33	X92217	IGHV3-13	5581	28449	ENSG00000211942	26444	IGHV3-13	P01766
Homo sapiens	IGHV3-15	F	Homo sapiens immunoglobulin heavy variable 3-15	9	14q32.33	X92216	IGHV3-15	5582	28448	ENSG00000211943	26445	IGHV3-15	A0A0B4J1V0
Homo sapiens	IGHV3-16	ORF	Homo sapiens immunoglobulin heavy variable 3-16	4	14q32.33	M99655	IGHV3-16	5583	28447	ENSG00000211944	26446	IGHV3-16	
Homo sapiens	IGHV3-19	P	Homo sapiens immunoglobulin heavy variable 3-19	2	14q32.33	M99656	IGHV3-19	5584	28446	ENSG00000253883	26501	IGHV3-19	
Homo sapiens	IGHV3-20	ORF F	Homo sapiens immunoglobulin heavy variable 3-20	4	14q32.33	M99657	IGHV3-20	5585	28445	ENSG00000211946	26447	IGHV3-20	A0A0C4DH32
Homo sapiens	IGHV3-21	F (F)	Homo sapiens immunoglobulin heavy variable 3-21	8	14q32.33	AB019439	IGHV3-21	5586	28444	ENSG00000211947	26448	IGHV3-21	A0A0B4J1V1
Homo sapiens	IGHV3-22	P	Homo sapiens immunoglobulin heavy variable 3-22	2	14q32.33	M99659	IGHV3-22	5587	28443	ENSG00000253957	26502	IGHV3-22	
Homo sapiens	IGHV3-23	F	Homo sapiens immunoglobulin heavy variable 3-23	5	14q32.33	M99660	IGHV3-23	5588	28442	ENSG00000211949	26449	IGHV3-23	P01764
Homo sapiens	IGHV3-23D	F	Homo sapiens immunoglobulin heavy variable 3-23D	1	14q32.33	AC244492							
Homo sapiens	IGHV3-25	P ORF	Homo sapiens immunoglobulin heavy variable 3-25	5	14q32.33	M99661	IGHV3-25	5589	28441	ENSG00000253441	26503	IGHV3-25	
Homo sapiens	IGHV3-29	P	Homo sapiens immunoglobulin heavy variable 3-29	2	14q32.33	AB019439	IGHV3-29	5590	28440	ENSG00000270474	26504	IGHV3-29	
Homo sapiens	IGHV3-30	P F (F)	Homo sapiens immunoglobulin heavy variable 3-30	21	14q32.33	M83134	IGHV3-30	5591	28439	ENSG00000270550	26450	IGHV3-30	P01768
Homo sapiens	IGHV3-30-2	P	Homo sapiens immunoglobulin heavy variable 3-30-2	2	14q32.33	AB019439	IGHV3-30-2	5592	28438	ENSG00000253587	26505	IGHV3-30-2	
Homo sapiens	IGHV3-30-22	P	Homo sapiens Immunoglobulin heavy variable 3-30-22	1	14q32.33	KC162924							
Homo sapiens	IGHV3-30-3	F	Homo sapiens immunoglobulin heavy variable 3-30-3	3	14q32.33	AC244456	IGHV3-30-3	5593	57290		26451	IGHV3-30-3	P0DP02
Homo sapiens	IGHV3-30-33	P	Homo sapiens Immunoglobulin heavy variable 3-30-33	2	14q32.33	AC244456							
Homo sapiens	IGHV3-30-42	P	Homo sapiens Immunoglobulin heavy variable 3-30-42	3	14q32.33	AC244456							
Homo sapiens	IGHV3-30-5	P F	Homo sapiens immunoglobulin heavy variable 3-30-5	4	14q32.33	AC244456	IGHV3-30-5	5594	89770		27536	IGHV3-30-5	P0DP03
Homo sapiens	IGHV3-30-52	P	Homo sapiens Immunoglobulin heavy variable 3-30-52	1	14q32.33	AC244456							
Homo sapiens	IGHV3-32	P	Homo sapiens immunoglobulin heavy variable 3-32	2	14q32.33	AB019439	IGHV3-32	5595	28435	ENSG00000254289	26506	IGHV3-32	
Homo sapiens	IGHV3-33	P F	Homo sapiens immunoglobulin heavy variable 3-33	9	14q32.33	AB019439	IGHV3-33	5596	28434	ENSG00000211955	26452	IGHV3-33	P01772
Homo sapiens	IGHV3-33-2	P	Homo sapiens immunoglobulin heavy variable 3-33-2	1	14q32.33	AB019439	IGHV3-33-2	5597	28433	ENSG00000253440	26507	IGHV3-33-2	
Homo sapiens	IGHV3-35	ORF F	Homo sapiens immunoglobulin heavy variable 3-35	2	14q32.33	M99666	IGHV3-35	5598	28432	ENSG00000211957	26453	IGHV3-35	
Homo sapiens	IGHV3-36	P	Homo sapiens immunoglobulin heavy variable 3-36	3	14q32.33	M99667	IGHV3-36	5599	28431	ENSG00000253240	26508	IGHV3-36	
Homo sapiens	IGHV3-37	P	Homo sapiens immunoglobulin heavy variable 3-37	2	14q32.33	M99668	IGHV3-37	5600	28430	ENSG00000253359	26509	IGHV3-37	
Homo sapiens	IGHV3-38	ORF	Homo sapiens immunoglobulin heavy variable 3-38	3	14q32.33	M99669	IGHV3-38	5601	28429	ENSG00000211958	26454	IGHV3-38	
Homo sapiens	IGHV3-38-3	ORF	Homo sapiens immunoglobulin heavy variable 3-38-3	2	14q32.33	KF698732	&IGHV3-38-3	5629	28404		26466	&IGHV3-38-3	
Homo sapiens	IGHV3-41	P	Homo sapiens immunoglobulin heavy variable 3-41	2	14q32.33	M99670	IGHV3-41	5602	28428	ENSG00000278473	26510	IGHV3-41	
Homo sapiens	IGHV3-42	P	Homo sapiens immunoglobulin heavy variable 3-42	4	14q32.33	M99671	IGHV3-42	5603	28427	ENSG00000254228	26511	IGHV3-42	
Homo sapiens	IGHV3-42D	P	Homo sapiens immunoglobulin heavy variable 3-42D	2	14q32.33	AC233755							
Homo sapiens	IGHV3-43	F	Homo sapiens immunoglobulin heavy variable 3-43	2	14q32.33	M99672	IGHV3-43	5604	28426	ENSG00000232216	26455	IGHV3-43	A0A0B4J1X8
Homo sapiens	IGHV3-43D	F	Homo sapiens immunoglobulin heavy variable 3-43D	4	14q32.33		IGHV3-43D	50322	103106901			IGHV3-43D	P0DP04
Homo sapiens	IGHV3-47	P	Homo sapiens immunoglobulin heavy variable 3-47	3	14q32.33	BK063799	IGHV3-47	5605	28425	ENSG00000229092	26512	IGHV3-47	
Homo sapiens	IGHV3-48	F	Homo sapiens immunoglobulin heavy variable 3-48	4	14q32.33	M99675	IGHV3-48	5606	28424	ENSG00000211964	26456	IGHV3-48	P01763
Homo sapiens	IGHV3-49	F	Homo sapiens immunoglobulin heavy variable 3-49	5	14q32.33	M99676	IGHV3-49	5607	28423	ENSG00000211965	26457	IGHV3-49	A0A0A0MS15
Homo sapiens	IGHV3-50	P	Homo sapiens immunoglobulin heavy variable 3-50	1	14q32.33	AB019438	IGHV3-50	5608	28422	ENSG00000253241	26513	IGHV3-50	
Homo sapiens	IGHV3-52	P	Homo sapiens immunoglobulin heavy variable 3-52	3	14q32.33	M99678	IGHV3-52	5609	28421	ENSG00000253545	26514	IGHV3-52	
Homo sapiens	IGHV3-53	P F (F)	Homo sapiens immunoglobulin heavy variable 3-53	7	14q32.33	M99679	IGHV3-53	5610	28420	ENSG00000211967	26458	IGHV3-53	P01767
Homo sapiens	IGHV3-54	P	Homo sapiens immunoglobulin heavy variable 3-54	6	14q32.33	M99680	IGHV3-54	5611	28419	ENSG00000275475	26515	IGHV3-54	
Homo sapiens	IGHV3-57	P	Homo sapiens immunoglobulin heavy variable 3-57	4	14q32.33	M29815	IGHV3-57	5612	28418	ENSG00000253759	26516	IGHV3-57	
Homo sapiens	IGHV3-6	P	Homo sapiens immunoglobulin heavy variable 3-6	2	14q32.33	M99650	IGHV3-6	5613	28453	ENSG00000253763	26517	IGHV3-6	
Homo sapiens	IGHV3-60	P	Homo sapiens immunoglobulin heavy variable 3-60	6	14q32.33	AB019438	IGHV3-60	5614	28417	ENSG00000253742	26518	IGHV3-60	
Homo sapiens	IGHV3-62	P ORF F	Homo sapiens immunoglobulin heavy variable 3-62	7	14q32.33	AB019437	IGHV3-62	5615	28416	ENSG00000253132	26519	IGHV3-62	
Homo sapiens	IGHV3-63	P	Homo sapiens immunoglobulin heavy variable 3-63	3	14q32.33	M99681	IGHV3-63	5616	28415	ENSG00000253936	26520	IGHV3-63	
Homo sapiens	IGHV3-64	F	Homo sapiens immunoglobulin heavy variable 3-64	6	14q32.33	M99682	IGHV3-64	5617	28414	ENSG00000223648	26459	IGHV3-64	A0A075B6Q5
Homo sapiens	IGHV3-64D	F	Homo sapiens immunoglobulin heavy variable 3-64D	3	14q32.33		IGHV3-64D	49603	102723170	ENSG00000282639		IGHV3-64D	
Homo sapiens	IGHV3-65	P	Homo sapiens immunoglobulin heavy variable 3-65	3	14q32.33	IMGT000111	IGHV3-65	5618	28413	ENSG00000253209	26521	IGHV3-65	
Homo sapiens	IGHV3-66	F	Homo sapiens immunoglobulin heavy variable 3-66	4	14q32.33	X92218	IGHV3-66	5619	28412	ENSG00000211972	26460	IGHV3-66	A0A0C4DH42
Homo sapiens	IGHV3-69-1	P	Homo sapiens immunoglobulin heavy variable 3-69-1	2	14q32.33	AJ879484	IGHV3-H	5631	28402	ENSG00000282600	27537	IGHV3-H	
Homo sapiens	IGHV3-7	F	Homo sapiens immunoglobulin heavy variable 3-7	5	14q32.33	M99649	IGHV3-7	5620	28452	ENSG00000211938	26461	IGHV3-7	P01780
Homo sapiens	IGHV3-7-2	P	Homo sapiens Immunoglobulin heavy variable 3-7-2	2	14q32.33	BK063799							
Homo sapiens	IGHV3-71	P	Homo sapiens immunoglobulin heavy variable 3-71	4	14q32.33	AB019437	IGHV3-71	5621	28411	ENSG00000254056	26522	IGHV3-71	
Homo sapiens	IGHV3-72	F	Homo sapiens immunoglobulin heavy variable 3-72	2	14q32.33	X92206	IGHV3-72	5622	28410	ENSG00000225698	26462	IGHV3-72	A0A0B4J1Y9
Homo sapiens	IGHV3-73	F	Homo sapiens immunoglobulin heavy variable 3-73	2	14q32.33	X70197	IGHV3-73	5623	28409	ENSG00000211976	26463	IGHV3-73	A0A0B4J1V6
Homo sapiens	IGHV3-74	F	Homo sapiens immunoglobulin heavy variable 3-74	3	14q32.33	AB019437	IGHV3-74	5624	28408	ENSG00000224650	26464	IGHV3-74	A0A0B4J1X5
Homo sapiens	IGHV3-75	P	Homo sapiens immunoglobulin heavy variable 3-75	3	14q32.33	AB019437	IGHV3-75	5625	28407	ENSG00000254176	26523	IGHV3-75	
Homo sapiens	IGHV3-76	P	Homo sapiens immunoglobulin heavy variable 3-76	4	14q32.33	AB019437	IGHV3-76	5626	28406	ENSG00000253247	26524	IGHV3-76	
Homo sapiens	IGHV3-79	P	Homo sapiens immunoglobulin heavy variable 3-79	3	14q32.33	AB019437	IGHV3-79	5627	28405	ENSG00000275747	26525	IGHV3-79	
Homo sapiens	IGHV3-9	F	Homo sapiens immunoglobulin heavy variable 3-9	4	14q32.33	M99651	IGHV3-9	5628	28451		26465	IGHV3-9	P01782
Homo sapiens	IGHV3-NL1	F	Homo sapiens immunoglobulin heavy variable 3-NL1	1	14q32.33	HM855939							
Homo sapiens	IGHV3/OR15-7	P ORF	Homo sapiens immunoglobulin heavy variable 3/OR15-7	5	15q11.2	Z29597	IGHV3OR15-7	5633	28318	ENSG00000259490	26467	IGHV3OR15-7	
Homo sapiens	IGHV3/OR16-10	ORF	Homo sapiens immunoglobulin heavy variable 3/OR16-10	3	16p11.2	IMGT000069	IGHV3OR16-10	5634	28306	ENSG00000233732	26468	IGHV3OR16-10	
Homo sapiens	IGHV3/OR16-11	P	Homo sapiens immunoglobulin heavy variable 3/OR16-11	1	16p11.2	IMGT000069	IGHV3OR16-11	5635	28305	ENSG00000270318	26527	IGHV3OR16-11	
Homo sapiens	IGHV3/OR16-12	ORF	Homo sapiens immunoglobulin heavy variable 3/OR16-12	1	16p11.2	IMGT000069	IGHV3OR16-12	5636	28304	ENSG00000270467	26469	IGHV3OR16-12	
Homo sapiens	IGHV3/OR16-13	ORF	Homo sapiens immunoglobulin heavy variable 3/OR16-13	1	16p11.2	IMGT000069	IGHV3OR16-13	5637	100287372	ENSG00000271178	26470	IGHV3OR16-13	
Homo sapiens	IGHV3/OR16-14	P	Homo sapiens immunoglobulin heavy variable 3/OR16-14	1	16p11.2	Z29611	IGHV3OR16-14	5638	100568447		26528	IGHV3OR16-14	
Homo sapiens	IGHV3/OR16-15	P	Homo sapiens immunoglobulin heavy variable 3/OR16-15	3	16p11.2	L25546	IGHV3OR16-15	5639	28300	ENSG00000261834	26529	IGHV3OR16-15	
Homo sapiens	IGHV3/OR16-16	P	Homo sapiens immunoglobulin heavy variable 3/OR16-16	3	16p11.2	IMGT000069	IGHV3OR16-16	5640	28301	ENSG00000259842	26530	IGHV3OR16-16	
Homo sapiens	IGHV3/OR16-17	ORF	Homo sapiens Immunoglobulin heavy variable 3/OR16-17	1	16p11.2	IMGT000069							
Homo sapiens	IGHV3/OR16-18	P	Homo sapiens Immunoglobulin heavy variable 3/OR16-18	1	16p11.2	IMGT000069							
Homo sapiens	IGHV3/OR16-19	P	Homo sapiens Immunoglobulin heavy variable 3/OR16-19	1	16p11.2	IMGT000069							
Homo sapiens	IGHV3/OR16-20	ORF	Homo sapiens Immunoglobulin heavy variable 3/OR16-20	1	16p11.2	IMGT000069							
Homo sapiens	IGHV3/OR16-6	P ORF	Homo sapiens immunoglobulin heavy variable 3/OR16-6	3	16p11.2	L25545	IGHV3OR16-6	5641	647187	ENSG00000270864	26531	IGHV3OR16-6	
Homo sapiens	IGHV3/OR16-7	P	Homo sapiens immunoglobulin heavy variable 3/OR16-7	3	16p11.2	IMGT000069	IGHV3OR16-7	5642	28309	ENSG00000271620	26532	IGHV3OR16-7	
Homo sapiens	IGHV3/OR16-8	ORF	Homo sapiens immunoglobulin heavy variable 3/OR16-8	2	16p11.2	IMGT000069	IGHV3OR16-8	5643	388255	ENSG00000271130	26471	IGHV3OR16-8	
Homo sapiens	IGHV3/OR16-9	ORF	Homo sapiens immunoglobulin heavy variable 3/OR16-9	1	16p11.2	IMGT000069	IGHV3OR16-9	5644	28307	ENSG00000270472	26472	IGHV3OR16-9	
Homo sapiens	IGHV4-28	F	Homo sapiens immunoglobulin heavy variable 4-28	7	14q32.33	X05714	IGHV4-28	5645	28400	ENSG00000211952	26473	IGHV4-28	A0A0C4DH34
Homo sapiens	IGHV4-30-1	F	Homo sapiens immunoglobulin heavy variable 4-30-1	1	14q32.33		IGHV4-30-1	5646	28399		27538	IGHV4-30-1	
Homo sapiens	IGHV4-30-2	F	Homo sapiens immunoglobulin heavy variable 4-30-2	7	14q32.33	AC245166	IGHV4-30-2	5647	28398		26474	IGHV4-30-2	A0A087WSY4
Homo sapiens	IGHV4-30-4	F (F)	Homo sapiens immunoglobulin heavy variable 4-30-4	10	14q32.33	AC244456	IGHV4-30-4	5648	28397		26475	IGHV4-30-4	P0DP06
Homo sapiens	IGHV4-31	F (F)	Homo sapiens immunoglobulin heavy variable 4-31	12	14q32.33	L10098	IGHV4-31	5649	28396	ENSG00000231475	26476	IGHV4-31	P0DP07
Homo sapiens	IGHV4-34	F	Homo sapiens immunoglobulin heavy variable 4-34	13	14q32.33	AB019439	IGHV4-34	5650	28395	ENSG00000211956	26477	IGHV4-34	P06331
Homo sapiens	IGHV4-38-2	F	Homo sapiens immunoglobulin heavy variable 4-38-2	3	14q32.33	AC242184	IGHV4-B	5657	28389		26481	IGHV4-B	P0DP08
Homo sapiens	IGHV4-39	F (F)	Homo sapiens immunoglobulin heavy variable 4-39	9	14q32.33	AB019439	IGHV4-39	5651	28394	ENSG00000211959	26478	IGHV4-39	P01824
Homo sapiens	IGHV4-4	F (F)	Homo sapiens immunoglobulin heavy variable 4-4	11	14q32.33	X05713	IGHV4-4	5652	28401	ENSG00000276775	26479	IGHV4-4	A0A075B6R2
Homo sapiens	IGHV4-55	P	Homo sapiens immunoglobulin heavy variable 4-55	9	14q32.33	M99685	IGHV4-55	5653	28393	ENSG00000254395	26533	IGHV4-55	
Homo sapiens	IGHV4-59	F (F)	Homo sapiens immunoglobulin heavy variable 4-59	12	14q32.33	AB019438	IGHV4-59	5654	28392	ENSG00000224373	26480	IGHV4-59	P01825
Homo sapiens	IGHV4-61	ORF F (F)	Homo sapiens immunoglobulin heavy variable 4-61	12	14q32.33	M29811	IGHV4-61	5655	28391	ENSG00000211970	27539	IGHV4-61	A0A0C4DH41
Homo sapiens	IGHV4-80	P	Homo sapiens immunoglobulin heavy variable 4-80	3	14q32.33	AB019437	IGHV4-80	5656	28390	ENSG00000283906	26534	IGHV4-80	
Homo sapiens	IGHV4/OR15-8	ORF	Homo sapiens immunoglobulin heavy variable 4/OR15-8	3	15q11.2	HM855539	IGHV4OR15-8	5658	28317	ENSG00000259261	26482	IGHV4OR15-8	
Homo sapiens	IGHV5-10-1	F	Homo sapiens immunoglobulin heavy variable 5-10-1	4	14q32.33	BK063801	IGHV5-A	5661	28386	ENSG00000282651	26484	IGHV5-A	A0A0J9YXX1
Homo sapiens	IGHV5-51	F (F)	Homo sapiens immunoglobulin heavy variable 5-51	7	14q32.33	M99686	IGHV5-51	5659	28388	ENSG00000211966	26483	IGHV5-51	A0A0C4DH38
Homo sapiens	IGHV5-78	P	Homo sapiens immunoglobulin heavy variable 5-78	2	14q32.33	X92213	IGHV5-78	5660	28387	ENSG00000211978	26535	IGHV5-78	
Homo sapiens	IGHV6-1	P F	Homo sapiens immunoglobulin heavy variable 6-1	3	14q32.33	J04097	IGHV6-1	5662	28385	ENSG00000211933	26485	IGHV6-1	A0A0B4J1U7
Homo sapiens	IGHV7-27	P	Homo sapiens immunoglobulin heavy variable 7-27	1	14q32.33	M99643	IGHV7-27	5663	28383	ENSG00000254326	26536	IGHV7-27	
Homo sapiens	IGHV7-34-1	P	Homo sapiens immunoglobulin heavy variable 7-34-1	4	14q32.33	AB019439	IGHV7-34-1	5664	28382	ENSG00000253325	26537	IGHV7-34-1	
Homo sapiens	IGHV7-4-1	F	Homo sapiens immunoglobulin heavy variable 7-4-1	5	14q32.33	BK063799	IGHV7-4-1	5665	57289	ENSG00000282122	26486	IGHV7-4-1	A0A0J9YVY3
Homo sapiens	IGHV7-40	P	Homo sapiens immunoglobulin heavy variable 7-40	4	14q32.33	M99644	IGHV7-40	5666	28381	ENSG00000253467	26538	IGHV7-40	
Homo sapiens	IGHV7-40D	P	Homo sapiens immunoglobulin heavy variable 7-40D	1	14q32.33	AC233755							
Homo sapiens	IGHV7-56	P	Homo sapiens immunoglobulin heavy variable 7-56	2	14q32.33	M29810	IGHV7-56	5667	28380	ENSG00000253131	26539	IGHV7-56	
Homo sapiens	IGHV7-77	-	Homo sapiens immunoglobulin heavy variable 7-77 (provisional)	1	14q32.33		IGHV7-77	5668	338451		27540	IGHV7-77	
Homo sapiens	IGHV7-81	ORF	Homo sapiens immunoglobulin heavy variable 7-81	2	14q32.33	AB019437	IGHV7-81	5669	28378	ENSG00000211979	26487	IGHV7-81	
Homo sapiens	IGHV7-NL1	P	Homo sapiens immunoglobulin heavy variable 7-NL1, not localized	5	14q32.33	X92291	IGHV7-NL1					IGHV7-NL1	
Homo sapiens	IGHV8-51-1	P ORF	Homo sapiens Immunoglobulin heavy variable 8-51-1	5	14q32.33	AB019438	IGHV8-51-1	5704	28343	ENSG00000254167		IGHV8-51-1	
Homo sapiens	IGKC	F (F)	Homo sapiens immunoglobulin kappa constant	5	2p11.2	J00241	IGKC	5716	3514	ENSG00000211592	3525	IGKC	
Homo sapiens	IGKJ1	F	Homo sapiens immunoglobulin kappa joining 1	1	2p11.2	J00242	IGKJ1	5719	28950	ENSG00000211597	27544	IGKJ1	A0A0A0MT89
Homo sapiens	IGKJ2	F (F)	Homo sapiens immunoglobulin kappa joining 2	4	2p11.2	J00242	IGKJ2	5720	28949	ENSG00000211596	27545	IGKJ2	
Homo sapiens	IGKJ3	F	Homo sapiens immunoglobulin kappa joining 3	1	2p11.2	J00242	IGKJ3	5721	28948	ENSG00000211595	27546	IGKJ3	
Homo sapiens	IGKJ4	F (F)	Homo sapiens immunoglobulin kappa joining 4	2	2p11.2	J00242	IGKJ4	5722	28947	ENSG00000211594	27547	IGKJ4	
Homo sapiens	IGKJ5	F	Homo sapiens immunoglobulin kappa joining 5	1	2p11.2	J00242	IGKJ5	5723	28946	ENSG00000211593	27548	IGKJ5	
Homo sapiens	IGKV1-12	F	Homo sapiens immunoglobulin kappa variable 1-12	2	2p11.2	V01577	IGKV1-12	5730	28940	ENSG00000243290	26581	IGKV1-12	A0A0C4DH73
Homo sapiens	IGKV1-13	P F	Homo sapiens immunoglobulin kappa variable 1-13	2	2p11.2	Z00010	IGKV1-13	5731	28939	ENSG00000253497	26582	IGKV1-13	P0DP09
Homo sapiens	IGKV1-16	[F] F	Homo sapiens immunoglobulin kappa variable 1-16	2	2p11.2	J00248	IGKV1-16	5732	28938	ENSG00000240864	26583	IGKV1-16	P04430
Homo sapiens	IGKV1-17	F	Homo sapiens immunoglobulin kappa variable 1-17	3	2p11.2	X72808	IGKV1-17	5733	28937	ENSG00000240382	26584	IGKV1-17	P01599
Homo sapiens	IGKV1-22	P	Homo sapiens immunoglobulin kappa variable 1-22	1	2p11.2	X71885	IGKV1-22	5734	28936	ENSG00000253578	26628	IGKV1-22	
Homo sapiens	IGKV1-27	F	Homo sapiens immunoglobulin kappa variable 1-27	3	2p11.2	X63398	IGKV1-27	5735	28935	ENSG00000244575	26585	IGKV1-27	A0A075B6S5
Homo sapiens	IGKV1-32	P	Homo sapiens immunoglobulin kappa variable 1-32	1	2p11.2	X71883	IGKV1-32	5736	28934	ENSG00000253870	26629	IGKV1-32	
Homo sapiens	IGKV1-33	F	Homo sapiens immunoglobulin kappa variable 1-33	1	2p11.2	M64856	IGKV1-33	5737	28933	ENSG00000242076	26586	IGKV1-33	P01594
Homo sapiens	IGKV1-35	P	Homo sapiens immunoglobulin kappa variable 1-35	2	2p11.2	X71890	IGKV1-35	5738	28932	ENSG00000253461	26630	IGKV1-35	
Homo sapiens	IGKV1-37	ORF	Homo sapiens immunoglobulin kappa variable 1-37	1	2p11.2	X59316	IGKV1-37	5739	28931	ENSG00000239862	26587	IGKV1-37	
Homo sapiens	IGKV1-39	P F	Homo sapiens immunoglobulin kappa variable 1-39	2	2p11.2	X59315	IGKV1-39	5740	28930	ENSG00000242371	26588	IGKV1-39	P01597
Homo sapiens	IGKV1-5	F	Homo sapiens immunoglobulin kappa variable 1-5	5	2p11.2	Z00001	IGKV1-5	5741	28299	ENSG00000243466	26589	IGKV1-5	P01602
Homo sapiens	IGKV1-6	F	Homo sapiens immunoglobulin kappa variable 1-6	2	2p11.2	M64858	IGKV1-6	5742	28943	ENSG00000239855	26590	IGKV1-6	A0A0C4DH72
Homo sapiens	IGKV1-8	F	Homo sapiens immunoglobulin kappa variable 1-8	4	2p11.2	Z00014	IGKV1-8	5743	28942	ENSG00000240671	26591	IGKV1-8	A0A0C4DH67
Homo sapiens	IGKV1-9	F	Homo sapiens immunoglobulin kappa variable 1-9	3	2p11.2	Z00013	IGKV1-9	5744	28941	ENSG00000241755	26592	IGKV1-9	A0A0C4DH69
Homo sapiens	IGKV1-NL1	F	Homo sapiens immunoglobulin kappa variable 1-NL1, not localized	1	2p11.2	Y14865							
Homo sapiens	IGKV1/OR-2	P	Homo sapiens immunoglobulin kappa variable 1/OR-2	1	-	X64640	IGKV1OR-2	5761	3532	ENSG00000156755	26636	IGKV1OR-2	
Homo sapiens	IGKV1/OR-3	P	Homo sapiens immunoglobulin kappa variable 1/OR-3	1	-	X64641	IGKV1OR-3	5762	644731	ENSG00000204776	26637	IGKV1OR-3	
Homo sapiens	IGKV1/OR-4	P	Homo sapiens immunoglobulin kappa variable 1/OR-4	1	-	X64642	IGKV1OR-4	5763	3534		26638	IGKV1OR-4	
Homo sapiens	IGKV1/OR1-1	P	Homo sapiens immunoglobulin kappa variable 1/OR1-1	1	1 pter-1qter	M20809	IGKV1OR1-1	5764	3525	ENSG00000276674	2568	IGKV1OR1-1	
Homo sapiens	IGKV1/OR10-1	P	Homo sapiens immunoglobulin kappa variable 1/OR10-1	1	10q11.21	AL031601	IGKV1OR10-1	44978	642424	ENSG00000237592		IGKV1OR10-1	
Homo sapiens	IGKV1/OR15-118	P	Homo sapiens immunoglobulin kappa variable 1/OR15-118	1	15 pter-15qter	M20812	IGKV1OR15-118	5765	100312985		2569	IGKV1OR15-118	
Homo sapiens	IGKV1/OR2-0	ORF	Homo sapiens immunoglobulin kappa variable 1/OR2-0	1	2p11.2	Y08392	IGKV1OR2-0	5766	28867		26604	IGKV1OR2-0	
Homo sapiens	IGKV1/OR2-1	P	Homo sapiens immunoglobulin kappa variable 1/OR2-1	1	2p11.1	M20813	IGKV1OR-1	5760	3531	ENSG00000235235	26635	IGKV1OR-1	
Homo sapiens	IGKV1/OR2-108	ORF	Homo sapiens immunoglobulin kappa variable 1/OR2-108	1	2q12-2q14	X51887	IGKV1OR2-108	5767	28862	ENSG00000231292	3557	IGKV1OR2-108	
Homo sapiens	IGKV1/OR2-11	P	Homo sapiens immunoglobulin kappa variable 1/OR2-11	1	2q11.2	X51885	IGKV1OR2-11	5768	28863	ENSG00000270187	26640	IGKV1OR2-11	
Homo sapiens	IGKV1/OR2-118	P	Homo sapiens immunoglobulin kappa variable 1/OR2-118	1	2p11.1	AC018696	IGKV1OR2-118	37488	339562	ENSG00000270999		IGKV1OR2-118	
Homo sapiens	IGKV1/OR2-2	P	Homo sapiens immunoglobulin kappa variable 1/OR2-2	1	2p11.1	AC128677	IGKV1OR2-2	49465		ENSG00000223816		IGKV1OR2-2	
Homo sapiens	IGKV1/OR2-3	P	Homo sapiens immunoglobulin kappa variable 1/OR2-3	1	2q11.2	X05102	IGKV1OR2-3	5769	28866	ENSG00000204670	26641	IGKV1OR2-3	
